num_meta,num_user,genres,rating,url,game_title,metacritic_score,user_score,release_date
11,8,"Action, Shooter, Shoot-'Em-Up, Horizontal",E,http://www.metacritic.com/game/switch/steredenn-binary-stars,Steredenn: Binary Stars (Switch),79,7.6,"Mar 8, 2018"
26,396,"Action, Shooter, First-Person, Arcade",M,http://www.metacritic.com/game/pc/far-cry-5,Far Cry 5 (PC),78,6.4,"Mar 27, 2018"
21,13,"Adventure, General",E10+,http://www.metacritic.com/game/switch/subsurface-circular,Subsurface Circular (Switch),78,7.6,"Mar 1, 2018"
NA,NA,NA,NA,http://www.metacritic.com/game/pc/aegis-defenders,Aegis Defenders (PC),78,NA,"Feb 8, 2018"
11,20,"Action Adventure, Survival",M,http://www.metacritic.com/game/switch/outlast-bundle-of-terror,Outlast: Bundle of Terror (Switch),78,8.3,"Feb 27, 2018"
29,11,"Action, Fighting, 2D",T,http://www.metacritic.com/game/playstation-4/under-night-in-birth-exelatest,Under Night In-Birth Exe:Late[st] (PS4),78,7.2,"Feb 9, 2018"
11,29,"Action, Shooter, Light Gun",NA,http://www.metacritic.com/game/pc/sairento-vr,Sairento VR (PC),78,7.9,"Jan 19, 2018"
10,10,"Strategy, Management, Government",E10+,http://www.metacritic.com/game/xbox-one/surviving-mars,Surviving Mars (XONE),78,7.1,"Mar 15, 2018"
NA,NA,NA,NA,http://www.metacritic.com/game/pc/brass-tactics,Brass Tactics (PC),78,NA,"Feb 22, 2018"
9,6,"Action, Shooter, First-Person, Arcade",M,http://www.metacritic.com/game/xbox-one/immortal-redneck,Immortal Redneck (XONE),78,7.3,"Feb 27, 2018"
8,5,"Action, Platformer, Shooter, 2D, Shoot-'Em-Up, Horizontal",E,http://www.metacritic.com/game/switch/atomik-rungunjumpgun,ATOMIK: RunGunJumpGun (Switch),78,7.8,"Feb 8, 2018"
NA,NA,NA,NA,http://www.metacritic.com/game/xbox-one/bridge-constructor-portal,Bridge Constructor Portal (XONE),78,NA,"Feb 28, 2018"
18,8,"Sci-Fi, Action, Shooter, First-Person, Arcade",T,http://www.metacritic.com/game/playstation-4/qube-2,Q.U.B.E. 2 (PS4),77,7,"Mar 13, 2018"
7,4,"Simulation, Vehicle, Train",E,http://www.metacritic.com/game/xbox-one/railway-empire,Railway Empire (XONE),77,7.8,"Jan 30, 2018"
17,37,"Sports, Individual, Combat, Boxing / Martial Arts",T,http://www.metacritic.com/game/xbox-one/ea-sports-ufc-3,EA Sports UFC 3 (XONE),77,5.6,"Jan 30, 2018"
11,8,"Action, Beat-'Em-Up, 2D",M,http://www.metacritic.com/game/xbox-one/wulverblade,Wulverblade (XONE),77,8.4,"Jan 31, 2018"
NA,NA,NA,NA,http://www.metacritic.com/game/switch/shadow-bug,Shadow Bug (Switch),77,NA,"Mar 30, 2018"
8,5,"Adventure, General",M,http://www.metacritic.com/game/playstation-4/little-red-lie,Little Red Lie (PS4),77,4.2,"Jan 9, 2018"
12,24,"Action Adventure, Survival",M,http://www.metacritic.com/game/pc/remothered-tormented-fathers,Remothered: Tormented Fathers (PC),77,7.7,"Jan 30, 2018"
NA,NA,NA,NA,http://www.metacritic.com/game/pc/a-case-of-distrust,A Case of Distrust (PC),77,NA,"Feb 8, 2018"
19,17,"Adventure, Point-and-Click",NA,http://www.metacritic.com/game/pc/batman-the-enemy-within---episode-4-what-ails-you,Batman: The Enemy Within - Episode 4: What Ails You (PC),77,7.9,"Jan 22, 2018"
9,8,"Adventure, 3D, First-Person",M,http://www.metacritic.com/game/xbox-one/the-vanishing-of-ethan-carter,The Vanishing of Ethan Carter (XONE),77,7.8,"Jan 19, 2018"
35,77,"Strategy, Management, Government",E10+,http://www.metacritic.com/game/pc/surviving-mars,Surviving Mars (PC),77,6.5,"Mar 15, 2018"
9,10,"Adventure, Point-and-Click",M,http://www.metacritic.com/game/playstation-4/batman-the-enemy-within---episode-4-what-ails-you,Batman: The Enemy Within - Episode 4: What Ails You (PS4),77,5.6,"Jan 22, 2018"
12,5,"Action, Shooter, First-Person, Arcade",E10+,http://www.metacritic.com/game/playstation-4/blasters-of-the-universe,Blasters of the Universe (PS4),76,6.2,"Feb 27, 2018"
12,6,"Action, Platformer, 3D",NA,http://www.metacritic.com/game/pc/candleman-the-complete-journey,Candleman: The Complete Journey (PC),76,8,"Jan 31, 2018"
NA,NA,NA,NA,http://www.metacritic.com/game/pc/kerbal-space-program-making-history,Kerbal Space Program: Making History (PC),76,NA,"Mar 13, 2018"
7,7,"Adventure, General",E,http://www.metacritic.com/game/switch/last-day-of-june,Last Day of June (Switch),76,8.1,"Mar 16, 2018"
18,27,"Fantasy, Action Adventure, General",NA,http://www.metacritic.com/game/pc/ghost-of-a-tale,Ghost of a Tale (PC),76,8.1,"Mar 13, 2018"
10,13,"Action, Platformer, 2D",E10+,http://www.metacritic.com/game/switch/steamworld-dig,SteamWorld Dig (Switch),76,7.5,"Feb 1, 2018"
57,1404,"Action Adventure, General, Historic, Role-Playing, Action RPG",M,http://www.metacritic.com/game/pc/kingdom-come-deliverance,Kingdom Come: Deliverance (PC),76,7.8,"Feb 13, 2018"
7,5,"Action, General",E,http://www.metacritic.com/game/switch/aqua-kitty-udx,Aqua Kitty UDX (Switch),76,7,"Feb 15, 2018"
25,15,"Adventure, General",M,http://www.metacritic.com/game/playstation-4/the-council---episode-1-the-mad-ones,The Council - Episode 1: The Mad Ones (PS4),75,7.6,"Mar 13, 2018"
NA,NA,NA,NA,http://www.metacritic.com/game/playstation-vita/hakuoki-edo-blossoms,Hakuoki: Edo Blossoms (VITA),75,NA,"Mar 13, 2018"
55,120,"Sports, Individual, Combat, Boxing / Martial Arts",T,http://www.metacritic.com/game/playstation-4/ea-sports-ufc-3,EA Sports UFC 3 (PS4),75,3.4,"Jan 30, 2018"
48,26,"Action, General",M,http://www.metacritic.com/game/playstation-4/attack-on-titan-2,Attack on Titan 2 (PS4),75,6.9,"Mar 20, 2018"
22,9,"Role-Playing, Action RPG",E10+,http://www.metacritic.com/game/switch/aegis-defenders,Aegis Defenders (Switch),75,6.6,"Feb 8, 2018"
37,15,"Miscellaneous, General",NA,http://www.metacritic.com/game/pc/where-the-water-tastes-like-wine,Where the Water Tastes Like Wine (PC),75,5.9,"Feb 28, 2018"
13,6,"Action, Shooter, Shoot-'Em-Up, Top-Down",T,http://www.metacritic.com/game/xbox-one/tesla-vs-lovecraft,Tesla vs Lovecraft (XONE),75,7.3,"Mar 16, 2018"
7,7,"Action, Beat-'Em-Up, 2D",M,http://www.metacritic.com/game/playstation-4/wulverblade,Wulverblade (PS4),75,7.3,"Jan 30, 2018"
22,22,"Action Adventure, General",T,http://www.metacritic.com/game/playstation-4/crossing-souls,Crossing Souls (PS4),75,7.1,"Feb 13, 2018"
NA,NA,NA,NA,http://www.metacritic.com/game/pc/the-fall-part-2-unbound,The Fall Part 2: Unbound (PC),75,NA,"Feb 13, 2018"
7,8,"Role-Playing, Action RPG",T,http://www.metacritic.com/game/switch/super-daryl-deluxe,Super Daryl Deluxe (Switch),74,7.4,"Apr 10, 2018"
16,16,"Action, Fighting, 3D",T,http://www.metacritic.com/game/switch/furi,Furi (Switch),74,7.4,"Jan 11, 2018"
16,8,"Action, Shooter, Shoot-'Em-Up, Vertical",E10+,http://www.metacritic.com/game/switch/sky-force-reloaded,Sky Force Reloaded (Switch),74,7.5,"Feb 1, 2018"
21,19,"Role-Playing, Japanese-Style",T,http://www.metacritic.com/game/playstation-4/atelier-lydie-suelle-the-alchemists-and-the-mysterious-paintings,Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings (PS4),74,7.6,"Mar 27, 2018"
NA,NA,NA,NA,http://www.metacritic.com/game/playstation-4/the-raven-remastered,The Raven Remastered (PS4),74,NA,"Mar 13, 2018"
16,13,"Action, General",NA,http://www.metacritic.com/game/pc/nantucket,Nantucket (PC),74,7.5,"Jan 18, 2018"
14,10,"Strategy, Management, Government",E10+,http://www.metacritic.com/game/playstation-4/surviving-mars,Surviving Mars (PS4),74,6.3,"Mar 15, 2018"
NA,NA,NA,NA,http://www.metacritic.com/game/xbox-one/beholder-complete-edition,Beholder: Complete Edition (XONE),74,NA,"Jan 19, 2018"
18,30,"Simulation, Vehicle, Train",E,http://www.metacritic.com/game/pc/railway-empire,Railway Empire (PC),74,6.5,"Jan 26, 2018"
17,18,"Role-Playing, Japanese-Style",E10+,http://www.metacritic.com/game/3ds/the-alliance-alive,The Alliance Alive (3DS),74,7.3,"Mar 27, 2018"
11,38,"Action, General",E,http://www.metacritic.com/game/switch/fe,Fe (Switch),74,7.3,"Feb 16, 2018"
15,41,"Action Adventure, Open-World",M,http://www.metacritic.com/game/playstation-4/assassins-creed-origins-the-hidden-ones,Assassin's Creed Origins: The Hidden Ones (PS4),73,7.3,"Jan 23, 2018"
10,11,"Sports, Team, Futuristic",E,http://www.metacritic.com/game/switch/disc-jam,Disc Jam (Switch),73,7.9,"Feb 8, 2018"
NA,NA,NA,NA,http://www.metacritic.com/game/pc/tesla-vs-lovecraft,Tesla vs Lovecraft (PC),73,NA,"Jan 26, 2018"
74,213,"Action, Platformer, 2D",E10+,http://www.metacritic.com/game/switch/kirby-star-allies,Kirby Star Allies (Switch),73,7.5,"Mar 16, 2018"
